evaluated_model,ground_truth_label,count,mean,std,min,max,risk_factor,stability_score
grok-4-1-fast-reasoning,legraise,14,0.36,0.263,0.033,0.733,0.326,0.737
grok-4-1-fast-reasoning,dance,13,0.354,0.187,0.033,0.667,0.321,0.813
grok-4-1-fast-reasoning,falldown,14,0.343,0.423,0.033,1.0,0.31,0.577
grok-4-1-fast-reasoning,thumbdown,14,0.333,0.371,0.033,1.0,0.3,0.629
grok-4-1-fast-reasoning,walk,13,0.333,0.314,0.067,1.0,0.267,0.686
grok-4-1-fast-reasoning,pushup,14,0.302,0.334,0.1,1.0,0.202,0.666
grok-4-1-fast-reasoning,sneeze,14,0.302,0.357,0.0,0.817,0.302,0.643
grok-4-1-fast-reasoning,strechoneself,1,0.3,,0.3,0.3,0.0,1.0
grok-4-1-fast-reasoning,jumprope,14,0.299,0.335,0.033,1.0,0.265,0.665
grok-4-1-fast-reasoning,bowling,14,0.274,0.277,0.033,0.9,0.24,0.723
grok-4-1-fast-reasoning,airdrum,14,0.246,0.165,0.0,0.433,0.246,0.835
grok-4-1-fast-reasoning,kicksomeone,14,0.231,0.405,0.0,1.0,0.231,0.595
grok-4-1-fast-reasoning,touchface,14,0.229,0.119,0.033,0.5,0.195,0.881
grok-4-1-fast-reasoning,stagger,14,0.224,0.103,0.033,0.367,0.19,0.897
grok-4-1-fast-reasoning,cough,14,0.219,0.332,0.033,1.0,0.186,0.668
grok-4-1-fast-reasoning,tap,14,0.21,0.241,0.0,0.933,0.21,0.759
grok-4-1-fast-reasoning,type,14,0.21,0.339,0.0,1.0,0.21,0.661
grok-4-1-fast-reasoning,punchsomeone,14,0.193,0.244,0.0,1.0,0.193,0.756
grok-4-1-fast-reasoning,bicepcurl,14,0.192,0.305,0.0,1.0,0.192,0.695
grok-4-1-fast-reasoning,jump,14,0.19,0.235,0.033,0.967,0.157,0.765
grok-4-1-fast-reasoning,jog,14,0.176,0.222,0.0,0.683,0.176,0.778
grok-4-1-fast-reasoning,drawzigzag,14,0.167,0.114,0.0,0.333,0.167,0.886
grok-4-1-fast-reasoning,drawcirclecounterclockwise,14,0.162,0.065,0.033,0.233,0.129,0.935
grok-4-1-fast-reasoning,spreadandpinch,14,0.16,0.088,0.033,0.333,0.126,0.912
grok-4-1-fast-reasoning,drawcircleclockwise,14,0.157,0.056,0.033,0.2,0.124,0.944
grok-4-1-fast-reasoning,pullhandin,14,0.145,0.117,0.0,0.433,0.145,0.883
grok-4-1-fast-reasoning,drawtriangle,14,0.138,0.125,0.0,0.367,0.138,0.875
grok-4-1-fast-reasoning,sweep,14,0.132,0.081,0.0,0.217,0.132,0.919
grok-4-1-fast-reasoning,makeoksign,14,0.131,0.096,0.0,0.333,0.131,0.904
grok-4-1-fast-reasoning,dodge,14,0.126,0.03,0.033,0.167,0.093,0.97
grok-4-1-fast-reasoning,brushhair,14,0.121,0.132,0.0,0.433,0.121,0.868
grok-4-1-fast-reasoning,wipeface,14,0.105,0.158,0.0,0.6,0.105,0.842
grok-4-1-fast-reasoning,slide,14,0.086,0.047,0.0,0.167,0.086,0.953
grok-4-1-fast-reasoning,eat,14,0.079,0.124,0.0,0.5,0.079,0.876
grok-4-1-fast-reasoning,blownose,14,0.076,0.094,0.0,0.3,0.076,0.906
grok-4-1-fast-reasoning,yawn,14,0.067,0.068,0.0,0.2,0.067,0.932
grok-4-1-fast-reasoning,shakehead,14,0.062,0.022,0.0,0.1,0.062,0.978
grok-4-1-fast-reasoning,stopsign,14,0.048,0.043,0.0,0.133,0.048,0.957
grok-4-1-fast-reasoning,brushteeth,14,0.024,0.016,0.0,0.033,0.024,0.984
qwen3-vl-plus,drink,14,1.0,0.0,1.0,1.0,0.0,1.0
qwen3-vl-plus,strechoneself,1,1.0,,1.0,1.0,0.0,1.0
qwen3-vl-plus,sit,14,0.998,0.009,0.967,1.0,0.031,0.991
qwen3-vl-plus,walk,13,0.995,0.018,0.933,1.0,0.062,0.982
qwen3-vl-plus,handshake,14,0.976,0.089,0.667,1.0,0.31,0.911
qwen3-vl-plus,bow,14,0.957,0.046,0.9,1.0,0.057,0.954
qwen3-vl-plus,turn,14,0.94,0.223,0.167,1.0,0.774,0.777
qwen3-vl-plus,pickup,14,0.907,0.099,0.783,1.0,0.124,0.901
qwen3-vl-plus,liftupahand,14,0.852,0.212,0.367,1.0,0.486,0.788
qwen3-vl-plus,handwave,14,0.805,0.341,0.033,1.0,0.771,0.659
qwen3-vl-plus,hug,14,0.805,0.337,0.167,1.0,0.638,0.663
qwen3-vl-plus,stretchoneself,13,0.772,0.284,0.1,1.0,0.672,0.716
qwen3-vl-plus,freestyle,54,0.764,0.273,0.033,1.0,0.731,0.727
qwen3-vl-plus,gym,55,0.754,0.194,0.133,1.0,0.621,0.806
qwen3-vl-plus,sleep,14,0.74,0.39,0.0,1.0,0.74,0.61
qwen3-vl-plus,jumpingjack,14,0.733,0.222,0.033,1.0,0.7,0.778
qwen3-vl-plus,falldown,14,0.702,0.418,0.033,1.0,0.669,0.582
qwen3-vl-plus,moppingfloor,14,0.696,0.338,0.033,0.9,0.663,0.662
qwen3-vl-plus,makevictorysign,14,0.683,0.397,0.0,1.0,0.683,0.603
qwen3-vl-plus,squat,14,0.662,0.471,0.0,1.0,0.662,0.529
qwen3-vl-plus,pushsomeone,14,0.656,0.333,0.033,1.0,0.623,0.667
qwen3-vl-plus,playphone,14,0.655,0.481,0.0,1.0,0.655,0.519
qwen3-vl-plus,dance,13,0.636,0.304,0.167,1.0,0.469,0.696
qwen3-vl-plus,thumbup,14,0.631,0.421,0.0,1.0,0.631,0.579
qwen3-vl-plus,kicksomeone,14,0.629,0.454,0.0,1.0,0.629,0.546
qwen3-vl-plus,bowling,14,0.623,0.335,0.067,0.9,0.556,0.665
qwen3-vl-plus,jog,14,0.614,0.355,0.0,1.0,0.614,0.645
qwen3-vl-plus,conversation,14,0.605,0.384,0.167,1.0,0.438,0.616
qwen3-vl-plus,lunge,14,0.512,0.4,0.1,1.0,0.412,0.6
qwen3-vl-plus,clap,14,0.502,0.439,0.0,1.0,0.502,0.561
qwen3-vl-plus,pushup,14,0.481,0.426,0.0,1.0,0.481,0.574
qwen3-vl-plus,shakehead,14,0.474,0.372,0.033,0.933,0.44,0.628
qwen3-vl-plus,eat,14,0.464,0.223,0.033,1.0,0.431,0.777
qwen3-vl-plus,boxing,14,0.389,0.411,0.033,1.0,0.356,0.589
qwen3-vl-plus,legraise,14,0.389,0.306,0.067,1.0,0.323,0.694
qwen3-vl-plus,jump,14,0.374,0.418,0.0,1.0,0.374,0.582
qwen3-vl-plus,pushhandaway,14,0.36,0.116,0.167,0.533,0.193,0.884
qwen3-vl-plus,airdrum,14,0.356,0.145,0.033,0.683,0.323,0.855
qwen3-vl-plus,punchsomeone,14,0.345,0.266,0.1,1.0,0.245,0.734
qwen3-vl-plus,touchface,14,0.343,0.401,0.033,1.0,0.31,0.599
qwen3-vl-plus,jumprope,14,0.337,0.289,0.067,1.0,0.27,0.711
qwen3-vl-plus,stagger,14,0.333,0.073,0.133,0.433,0.2,0.927
qwen3-vl-plus,sneeze,14,0.327,0.356,0.0,0.883,0.327,0.644
qwen3-vl-plus,blownose,14,0.27,0.273,0.033,0.7,0.237,0.727
qwen3-vl-plus,answerphone,14,0.248,0.409,0.0,1.0,0.248,0.591
qwen3-vl-plus,brushhair,14,0.245,0.286,0.033,0.717,0.212,0.714
qwen3-vl-plus,drawtriangle,14,0.233,0.134,0.0,0.467,0.233,0.866
qwen3-vl-plus,dodge,14,0.221,0.145,0.067,0.467,0.155,0.855
qwen3-vl-plus,tap,14,0.221,0.189,0.033,0.633,0.188,0.811
qwen3-vl-plus,thumbdown,14,0.219,0.247,0.0,1.0,0.219,0.753
qwen3-vl-plus,wipeface,14,0.207,0.268,0.033,0.717,0.174,0.732
qwen3-vl-plus,pullhandin,14,0.2,0.18,0.0,0.667,0.2,0.82
qwen3-vl-plus,drawcircleclockwise,14,0.195,0.047,0.133,0.267,0.062,0.953
qwen3-vl-plus,type,14,0.188,0.254,0.033,1.0,0.155,0.746
qwen3-vl-plus,drawzigzag,14,0.179,0.077,0.033,0.267,0.145,0.923
qwen3-vl-plus,spreadandpinch,14,0.176,0.083,0.067,0.333,0.11,0.917
qwen3-vl-plus,sweep,14,0.168,0.088,0.033,0.333,0.135,0.912
qwen3-vl-plus,makeoksign,14,0.15,0.138,0.0,0.533,0.15,0.862
qwen3-vl-plus,brushteeth,14,0.143,0.038,0.033,0.167,0.11,0.962
qwen3-vl-plus,drawcirclecounterclockwise,14,0.143,0.053,0.033,0.233,0.11,0.947
qwen3-vl-plus,stopsign,14,0.095,0.136,0.0,0.467,0.095,0.864
qwen3-vl-plus,slide,14,0.09,0.056,0.033,0.233,0.057,0.944
qwen3-vl-plus,bicepcurl,14,0.074,0.075,0.0,0.3,0.074,0.925
qwen3-vl-plus,yawn,14,0.057,0.082,0.0,0.333,0.057,0.918
